Success_Count,Timeout_Count,Average_Response_Time,Total_Time_Taken
51,13,260.1688959879034,802.9470238685608
25,39,265.7316557884216,649.4870181083679
28,36,240.4983835731234,786.2278017997742
30,34,320.71198574701947,841.855950832367
37,27,261.9648767097576,624.6221849918365
48,16,236.20955099662146,584.6680247783661
34,30,244.57559084892273,751.8369090557098
40,24,260.10131813287734,740.4387550354004
45,19,211.44186839527555,814.6008307933807
15,49,196.66669673919677,517.2243340015411
